date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2/24/2022,3.1,1.9,4.2,,,261,5.9,14.8,1022,
2/25/2022,2.6,-1,6,,,177,6.5,20.4,1018.1,
2/26/2022,4,0,8,,,350,14,31.5,1023.9,
2/27/2022,2.1,0,4.5,,,6,8.9,24.1,1031.6,
2/28/2022,0.1,-2.8,3,,,25,13,35.2,1032.7,
3/1/2022,-0.5,-1.5,0.5,,,27,12.4,27.8,1029.4,
3/2/2022,0.8,0,2,,,39,9.6,22.2,1021.5,
3/3/2022,1.3,0.4,2.1,,,10,8.6,20.4,1012.7,
3/4/2022,1.2,0,2.5,,,350,14.1,33.3,1012.6,
3/5/2022,0.6,-1.6,1,,,359,13.8,33.3,1018.1,
3/6/2022,-0.6,-2,0.9,0.5,10,300,5.5,18.5,1022.1,
3/7/2022,-0.6,-1.5,1.8,,,302,8.2,24.1,1015,
3/8/2022,-1.2,-2.9,1.7,1.3,10,348,12.8,35.2,1015.1,
3/9/2022,-2.9,-3.8,0.1,2,,11,10.9,29.6,1021.3,
3/10/2022,-5,-7.8,-2.3,,51,26,16.1,42.6,1030.2,
3/11/2022,-4.1,-8.6,0.4,,20,22,15.3,42.6,1031.8,
3/12/2022,-0.6,-5.3,4.3,,,316,9.6,31.5,1027.5,
3/13/2022,-1.2,-1.7,-0.1,0.3,10,23,7.4,24.1,1029.3,
3/14/2022,1.7,-2.2,6.8,,,310,8.2,24.1,1034.4,
3/15/2022,3.7,-1.2,10.4,,,341,8.9,25.9,1031.3,
3/16/2022,-0.5,-4.8,4.8,,,104,8,27.8,1032.9,
3/17/2022,-1.7,-5.7,2.4,,,43,8.6,33.3,1039.2,
3/18/2022,-1.6,-5.7,3,,,32,8.5,29.6,1044.3,
3/19/2022,1.3,-3.9,6,,,4,5.3,25.9,1044.4,
3/20/2022,4.6,-0.9,9.9,,,351,9.3,29.6,1042.3,
3/21/2022,7.8,0.4,13.2,,,348,10.4,29.6,1037.7,
3/22/2022,9.6,3.7,16.5,,,358,6.7,22.2,1036,
3/23/2022,10.6,2.2,16.8,,,322,4.7,22.2,1028.9,
3/24/2022,5.9,2.3,9,,,310,10.9,37,1018.3,
3/25/2022,6.3,1.2,11,,,3,7.4,27.8,1021.3,
3/26/2022,8.8,3.7,15.7,,,278,17.1,50,1015.1,
3/27/2022,2.2,0.3,4.8,,,332,19.9,51.8,1019,
3/28/2022,7.4,-1.7,14.9,,,255,15.4,51.8,1018.9,
3/29/2022,11.4,8.7,18.7,,,260,15.5,38.9,1005.6,
3/30/2022,7.2,6.1,9.6,,,285,5,22.2,1005.2,
3/31/2022,8.9,4.2,16.4,,,96,6.2,25.9,1003.5,
4/1/2022,7.1,6,10.9,6.6,,70,8.2,22.2,997.7,
4/2/2022,3.5,3.3,4.5,4.1,,345,10.5,27.8,994.1,
4/3/2022,1,0,2.3,1.3,,325,9.7,27.8,1002.3,
4/4/2022,1.9,-2.3,6.1,,10,284,12.3,35.2,1012.2,
4/5/2022,3.1,-1.3,7.4,,,218,14.7,42.6,1006.3,
4/6/2022,8.2,2.6,12.8,,,243,13.6,37,1006.5,
4/7/2022,12.8,4.1,20.5,,,189,12.5,38.9,1004,
4/8/2022,8.7,6.4,14.6,,,213,11.7,35.2,998.3,
4/9/2022,8.4,3.5,13.1,,,208,7.3,25.9,1000.5,
4/10/2022,6.4,5.5,9,0.8,,346,10.9,31.5,1008.1,
4/11/2022,7.3,3.8,10.3,,,354,15.4,37,1011.9,
4/12/2022,6.7,4,9.9,,,339,18.1,48.2,1012.9,
4/13/2022,4.9,4.3,5.5,,,348,20.1,46.3,1015.2,
4/14/2022,8.6,5.2,14.1,,,354,12.9,37,1019.7,
4/15/2022,14.4,6.2,21.1,,,227,6.7,31.5,1016.9,
4/16/2022,8.8,4.6,13.4,,,328,11.3,35.2,1014.8,
